POL_NO,POL_EFF_DT,TRANS_CD,WRITTEN_PREM_AMT,COVG_CD
3996585786,04-08-2025,Submission,588,Personal Automobile Liability Coverage
3996585786,04-08-2025,Submission,37,Personal Automobile Uninsured Motorist Bodily Injury Coverage
3996585786,04-08-2025,Submission,18,Personal Automobile Rental Coverage
3996585786,04-08-2025,Submission,12,Personal Automobile Uninsured Motorist Property Damage Coverage
3996585786,04-08-2025,Submission,14,Personal Automobile Towing & Labor Coverage
4896585784,04-08-2025,Submission,200,Personal Automobile Liability Coverage
4896585784,04-08-2025,Submission,40,Personal Automobile Uninsured Motorist Bodily Injury Coverage
4896585784,04-08-2025,Submission,16,Personal Automobile Rental Coverage
4896585784,04-08-2025,Submission,12,Personal Automobile Uninsured Motorist Property Damage Coverage
4896585784,04-08-2025,Submission,14,Personal Automobile Towing & Labor Coverage
